user_id,event_date,event_type,purchase_amount
a05573,2019-07-29 08:26:00,simple_event,
ea759b,2019-07-29 08:30:20,registration,
83b2a7,2019-07-29 08:39:26,registration,
3fc043,2019-07-29 08:48:27,registration,
bc9442,2019-07-29 08:54:06,registration,
db638a,2019-07-29 08:54:34,registration,
346c95,2019-07-29 08:57:17,simple_event,
426ac3,2019-07-29 09:28:57,registration,
eacdd5,2019-07-29 09:33:04,registration,
045b84,2019-07-29 09:33:27,registration,
adf47f,2019-07-29 09:43:58,registration,
f36063,2019-07-29 09:54:05,registration,
0779c5,2019-07-29 09:58:13,registration,
a7a1d5,2019-07-29 10:09:33,registration,
193c53,2019-07-29 10:13:15,registration,
61a615,2019-07-29 10:14:22,registration,
82dad8,2019-07-29 10:14:49,registration,
f6558b,2019-07-29 10:17:15,registration,
59e828,2019-07-29 10:17:37,registration,
a2b682,2019-07-29 10:21:57,simple_event,
378f16,2019-07-29 10:26:37,registration,
2b0ca4,2019-07-29 10:28:40,registration,
357151,2019-07-29 10:29:06,simple_event,
dad65b,2019-07-29 10:29:25,registration,
84eeee,2019-07-29 10:36:58,registration,
dd7c06,2019-07-29 10:38:32,registration,
39a97b,2019-07-29 10:40:08,registration,
57b242,2019-07-29 10:40:43,registration,
d96513,2019-07-29 10:45:38,registration,
a48f29,2019-07-29 10:45:47,simple_event,
678de5,2019-07-29 10:46:00,registration,
2c8868,2019-07-29 10:50:37,simple_event,
060744,2019-07-29 10:58:05,registration,
4c6e0c,2019-07-29 11:08:16,registration,
eef2a8,2019-07-29 11:09:01,registration,
1ab6ab,2019-07-29 11:17:17,registration,
adf47f,2019-07-29 11:33:29,simple_event,
af679d,2019-07-29 11:41:19,simple_event,
51dc02,2019-07-29 11:43:11,purchase,10
f1c95f,2019-07-29 11:48:46,purchase,50
770f22,2019-07-29 11:57:16,registration,
0b56ee,2019-07-29 12:01:29,registration,
0a2fd0,2019-07-29 12:03:26,registration,
beb9ea,2019-07-29 12:15:53,registration,
d30adc,2019-07-29 12:17:25,simple_event,
360c13,2019-07-29 12:26:05,registration,
b6b43a,2019-07-29 12:28:28,registration,
b1ee9f,2019-07-29 12:29:32,registration,
a13a2b,2019-07-29 12:32:03,registration,
7c2574,2019-07-29 12:33:40,registration,
9cbd73,2019-07-29 12:49:19,registration,
a792bb,2019-07-29 12:53:26,registration,
7a6b21,2019-07-29 12:57:17,registration,
3605b0,2019-07-29 13:00:01,registration,
2cb436,2019-07-29 13:00:45,registration,
81c455,2019-07-29 13:03:15,registration,
e4361f,2019-07-29 13:04:19,registration,
aa38b1,2019-07-29 13:05:32,registration,
09d5eb,2019-07-29 13:06:26,registration,
4759f3,2019-07-29 13:07:39,registration,
8afebe,2019-07-29 13:11:11,registration,
0d7844,2019-07-29 13:17:19,registration,
851b14,2019-07-29 13:19:15,registration,
2fbff5,2019-07-29 13:19:20,registration,
2fbff5,2019-07-29 13:20:04,simple_event,
deccc0,2019-07-29 13:25:00,registration,
64e48b,2019-07-29 13:32:19,registration,
0f6aed,2019-07-29 13:34:00,simple_event,
84643c,2019-07-29 13:34:00,registration,
8d0cc9,2019-07-29 13:39:47,registration,
523d0d,2019-07-29 13:42:15,registration,
559da6,2019-07-29 13:42:29,registration,
0f870f,2019-07-29 13:52:09,simple_event,
18c6aa,2019-07-29 14:16:24,registration,
f394aa,2019-07-29 14:18:48,registration,
d39e52,2019-07-29 14:21:48,simple_event,
c59db6,2019-07-29 14:26:09,registration,
eed60a,2019-07-29 14:28:06,registration,
feb1ce,2019-07-29 14:32:33,registration,
b01d0d,2019-07-29 14:37:30,registration,
a13a2b,2019-07-29 14:50:07,purchase,10
5d9fee,2019-07-29 14:50:16,registration,
a78bc0,2019-07-29 14:51:55,registration,
a2bcc2,2019-07-29 14:58:46,registration,
525095,2019-07-29 15:01:20,registration,
3e7892,2019-07-29 15:05:13,simple_event,
0556b2,2019-07-29 15:15:27,registration,
b24e8c,2019-07-29 15:18:36,registration,
24f10b,2019-07-29 15:19:40,registration,
755763,2019-07-29 15:19:51,registration,
0d04ff,2019-07-29 15:30:50,registration,
0a2fd0,2019-07-29 15:30:50,simple_event,
fd506d,2019-07-29 15:38:35,registration,
d5e6d3,2019-07-29 15:39:06,registration,
132883,2019-07-29 16:07:12,simple_event,
3541a7,2019-07-29 16:09:21,registration,
9a65e2,2019-07-29 16:15:12,registration,
142196,2019-07-29 16:15:34,registration,
8a1254,2019-07-29 16:17:54,registration,
e577f9,2019-07-29 16:26:19,registration,
6fa761,2019-07-29 16:27:09,registration,
69b65c,2019-07-29 16:28:37,simple_event,
33887e,2019-07-29 16:32:36,registration,
40bbd7,2019-07-29 16:35:18,registration,
2b0ca4,2019-07-29 16:37:07,simple_event,
48e461,2019-07-29 16:44:29,registration,
31a9a7,2019-07-29 16:45:21,registration,
a08e52,2019-07-29 16:48:18,registration,
38daba,2019-07-29 16:52:26,registration,
0df179,2019-07-29 16:53:53,simple_event,
a3473d,2019-07-29 16:59:48,registration,
cb5c78,2019-07-29 17:01:54,registration,
22e9ec,2019-07-29 17:10:36,simple_event,
8323ab,2019-07-29 17:12:25,registration,
74a014,2019-07-29 17:16:42,registration,
4b7638,2019-07-29 17:18:19,registration,
7f2f77,2019-07-29 17:18:27,registration,
90559a,2019-07-29 17:20:36,registration,
54fd6b,2019-07-29 17:40:13,registration,
4b4c24,2019-07-29 17:40:31,registration,
8e7e1a,2019-07-29 17:41:22,registration,
d5be5b,2019-07-29 17:42:36,registration,
9349ef,2019-07-29 17:44:22,registration,
e77827,2019-07-29 17:53:03,registration,
80f3e2,2019-07-29 18:03:03,registration,
8b3285,2019-07-29 18:06:30,registration,
dd7c06,2019-07-29 18:08:46,simple_event,
0833ac,2019-07-29 18:15:57,simple_event,
060744,2019-07-29 18:17:36,simple_event,
f2c79f,2019-07-29 18:27:58,registration,
6f7d5d,2019-07-29 18:32:48,registration,
6c91bd,2019-07-29 18:35:09,registration,
d5be5b,2019-07-29 18:35:11,simple_event,
75d3cd,2019-07-29 18:42:05,registration,
3eeb3f,2019-07-29 18:46:01,registration,
d798a4,2019-07-29 18:47:24,registration,
358fb8,2019-07-29 18:47:47,registration,
229bf4,2019-07-29 18:49:26,registration,
eef35d,2019-07-29 18:53:55,registration,
e69c68,2019-07-29 18:54:00,registration,
21b437,2019-07-29 18:54:23,registration,
ca6d4a,2019-07-29 18:59:41,registration,
7f5766,2019-07-29 19:00:25,registration,
8393fd,2019-07-29 19:13:56,registration,
5e72bd,2019-07-29 19:18:17,registration,
87ae4e,2019-07-29 19:22:39,registration,
42b9c3,2019-07-29 19:28:11,registration,
c8c09c,2019-07-29 19:38:45,registration,
01843b,2019-07-29 19:44:58,registration,
3b24f4,2019-07-29 19:48:15,registration,
4b7638,2019-07-29 19:48:47,simple_event,
b8c54d,2019-07-29 19:51:20,registration,
8c8327,2019-07-29 19:53:40,registration,
70d08c,2019-07-29 19:54:33,registration,
9cc5a2,2019-07-29 19:54:57,registration,
c64088,2019-07-29 19:55:40,registration,
c37dfa,2019-07-29 19:56:06,registration,
365e4d,2019-07-29 20:02:06,registration,
39cb2f,2019-07-29 20:07:13,registration,
fbf7ca,2019-07-29 20:08:36,registration,
5fc7fc,2019-07-29 20:08:59,registration,
3e4a95,2019-07-29 20:09:12,registration,
b94c66,2019-07-29 20:09:25,registration,
8b15ba,2019-07-29 20:11:44,registration,
67513f,2019-07-29 20:15:31,registration,
12301b,2019-07-29 20:15:38,registration,
73a94d,2019-07-29 20:16:52,registration,
12625a,2019-07-29 20:19:22,registration,
647dbd,2019-07-29 20:20:52,registration,
dc61a9,2019-07-29 20:24:16,registration,
8699a7,2019-07-29 20:27:19,registration,
a38595,2019-07-29 20:28:19,registration,
33036a,2019-07-29 20:33:49,registration,
e1b147,2019-07-29 20:37:53,registration,
0be261,2019-07-29 20:43:22,registration,
d6922d,2019-07-29 20:45:01,registration,
41dd5d,2019-07-29 20:45:01,registration,
c70d6b,2019-07-29 20:45:35,registration,
1429d6,2019-07-29 20:49:56,registration,
ffc88b,2019-07-29 20:51:56,simple_event,
8aa5b4,2019-07-29 20:56:40,simple_event,
a7a1d5,2019-07-29 20:57:02,simple_event,
9b4059,2019-07-29 20:58:08,registration,
86cf3a,2019-07-29 20:59:47,registration,
222935,2019-07-29 21:07:17,simple_event,
dece09,2019-07-29 21:07:46,registration,
b94c66,2019-07-29 21:10:01,simple_event,
c40e6a,2019-07-29 21:13:24,simple_event,
bb8326,2019-07-29 21:16:05,registration,
1f3a5c,2019-07-29 21:17:56,registration,
4f0e9a,2019-07-29 21:25:40,registration,
a0f913,2019-07-29 21:25:40,registration,
9b4059,2019-07-29 21:34:33,simple_event,
21b437,2019-07-29 21:36:20,simple_event,
d1104b,2019-07-29 21:42:35,registration,
d78370,2019-07-29 21:42:45,registration,
9fde14,2019-07-29 21:45:14,registration,
11e04e,2019-07-29 21:56:29,registration,
e75273,2019-07-29 22:03:03,registration,
4c6e0c,2019-07-29 22:04:34,simple_event,
31a9a7,2019-07-29 22:10:23,simple_event,
2def0b,2019-07-29 22:14:04,registration,
45c260,2019-07-29 22:15:28,registration,
b086ba,2019-07-29 22:16:24,registration,
678284,2019-07-29 22:16:25,registration,
41fc62,2019-07-29 22:18:39,registration,
51c11d,2019-07-29 22:20:56,registration,
64825f,2019-07-29 22:23:56,registration,
12625a,2019-07-29 22:25:07,simple_event,
611e0d,2019-07-29 22:25:32,registration,
be184b,2019-07-29 22:30:30,registration,
0f8d75,2019-07-29 22:34:13,registration,
633136,2019-07-29 22:34:40,registration,
7e85aa,2019-07-29 22:35:17,registration,
4a6ca2,2019-07-29 22:37:03,registration,
8dd8e2,2019-07-29 22:37:38,simple_event,
21b437,2019-07-29 22:43:34,simple_event,
486168,2019-07-29 22:54:21,registration,
15bd27,2019-07-29 22:56:04,registration,
48cac1,2019-07-29 23:02:06,simple_event,
f1ae96,2019-07-29 23:02:35,registration,
fdc22d,2019-07-29 23:06:31,registration,
3763ee,2019-07-29 23:07:04,registration,
0ec6ff,2019-07-29 23:08:37,registration,
deccc0,2019-07-29 23:12:26,simple_event,
8c9156,2019-07-29 23:12:52,registration,
22e9ec,2019-07-29 23:18:59,simple_event,
c64ac7,2019-07-29 23:20:49,registration,
4a0550,2019-07-29 23:22:07,registration,
e169dc,2019-07-29 23:25:35,registration,
5e72bd,2019-07-29 23:33:00,simple_event,
e77d1c,2019-07-29 23:33:08,registration,
f57d3c,2019-07-29 23:34:19,registration,
deccc0,2019-07-29 23:38:20,purchase,50
74d785,2019-07-29 23:43:17,registration,
3f5342,2019-07-29 23:43:25,registration,
c1106e,2019-07-29 23:43:46,registration,
8e7e1a,2019-07-29 23:51:19,simple_event,
82dad8,2019-07-29 23:52:49,simple_event,
e7f4d0,2019-07-29 23:54:36,registration,
37ef4a,2019-07-29 23:55:47,registration,
ff30a7,2019-07-29 23:58:48,registration,
dd7c06,2019-07-30 00:04:01,simple_event,
4b7638,2019-07-30 00:07:26,simple_event,
e7ebea,2019-07-30 00:07:35,registration,
8c8327,2019-07-30 00:10:23,simple_event,
0563b3,2019-07-30 00:15:24,simple_event,
70d08c,2019-07-30 00:20:03,simple_event,
64618d,2019-07-30 00:22:31,registration,
70d08c,2019-07-30 00:25:48,simple_event,
f63290,2019-07-30 00:26:48,registration,
e2dc98,2019-07-30 00:28:01,registration,
fb1493,2019-07-30 00:39:19,registration,
f9ecb5,2019-07-30 00:39:36,registration,
9c09e9,2019-07-30 00:40:58,registration,
193c53,2019-07-30 00:41:45,simple_event,
85833e,2019-07-30 00:45:49,registration,
597bd4,2019-07-30 00:53:42,registration,
f36063,2019-07-30 00:54:02,simple_event,
2925a3,2019-07-30 00:55:49,registration,
77b4ef,2019-07-30 01:02:08,registration,
546888,2019-07-30 01:12:13,simple_event,
0a2331,2019-07-30 01:12:24,registration,
8c8da4,2019-07-30 01:26:46,registration,
25dd63,2019-07-30 01:28:44,registration,
6e1da6,2019-07-30 01:29:52,registration,
51dc02,2019-07-30 01:37:00,simple_event,
73484c,2019-07-30 01:43:12,registration,
828d48,2019-07-30 01:43:13,registration,
eba511,2019-07-30 01:46:39,registration,
93ff22,2019-07-30 01:50:35,simple_event,
f018f1,2019-07-30 01:55:56,registration,
b01d0d,2019-07-30 01:58:04,simple_event,
567e59,2019-07-30 02:06:21,registration,
a60215,2019-07-30 02:08:37,registration,
5a886e,2019-07-30 02:09:13,registration,
0be261,2019-07-30 02:25:50,simple_event,
cd8e42,2019-07-30 02:26:36,registration,
c069d7,2019-07-30 02:29:25,registration,
03d581,2019-07-30 02:41:16,registration,
7de6eb,2019-07-30 02:45:20,registration,
a97c59,2019-07-30 02:47:20,registration,
75ec7a,2019-07-30 02:49:44,registration,
afbda0,2019-07-30 02:51:11,registration,
b6beec,2019-07-30 03:01:40,simple_event,
956ad6,2019-07-30 03:03:10,simple_event,
2cb436,2019-07-30 03:05:17,simple_event,
11e04e,2019-07-30 03:08:15,purchase,50
a2b682,2019-07-30 03:14:26,simple_event,
31a9a7,2019-07-30 03:15:21,simple_event,
1f3a5c,2019-07-30 03:23:34,simple_event,
1ff177,2019-07-30 03:25:50,registration,
db55cd,2019-07-30 03:26:19,registration,
f19049,2019-07-30 03:29:27,registration,
6f84ee,2019-07-30 03:30:01,registration,
5b7924,2019-07-30 03:34:46,registration,
67513f,2019-07-30 03:35:15,simple_event,
5b6c68,2019-07-30 03:36:01,registration,
9207a3,2019-07-30 03:36:55,registration,
fc285a,2019-07-30 03:45:50,registration,
8b15ba,2019-07-30 03:49:14,simple_event,
9ac888,2019-07-30 03:49:22,simple_event,
4a6ca2,2019-07-30 04:04:34,simple_event,
a60266,2019-07-30 04:10:02,registration,
0d8340,2019-07-30 04:11:57,registration,
80c196,2019-07-30 04:12:26,registration,
a8a5aa,2019-07-30 04:21:58,registration,
daa584,2019-07-30 04:23:46,registration,
e69c68,2019-07-30 04:28:45,simple_event,
68f99b,2019-07-30 04:28:51,registration,
0227bb,2019-07-30 04:38:12,registration,
19ab02,2019-07-30 04:40:27,registration,
eecdfc,2019-07-30 04:41:52,registration,
0779c5,2019-07-30 04:43:27,purchase,30
b94f18,2019-07-30 04:47:50,simple_event,
a033b1,2019-07-30 04:53:32,registration,
846db9,2019-07-30 04:56:38,registration,
b73094,2019-07-30 04:58:14,registration,
83676c,2019-07-30 05:05:16,registration,
2b69e1,2019-07-30 05:14:32,registration,
c8c09c,2019-07-30 05:15:46,simple_event,
bfd06c,2019-07-30 05:18:16,registration,
7de6eb,2019-07-30 05:20:36,simple_event,
aef0ea,2019-07-30 05:23:18,registration,
4f0e9a,2019-07-30 05:31:40,simple_event,
22ec1a,2019-07-30 05:38:31,registration,
ef41be,2019-07-30 05:39:51,registration,
237e06,2019-07-30 05:40:41,registration,
80f989,2019-07-30 05:42:33,registration,
e31f40,2019-07-30 05:48:57,registration,
cb1a68,2019-07-30 05:51:35,simple_event,
68f99b,2019-07-30 05:54:06,simple_event,
51dc02,2019-07-30 05:55:11,simple_event,
4a6ca2,2019-07-30 06:05:41,purchase,30
4ca657,2019-07-30 06:09:39,simple_event,
db638a,2019-07-30 06:10:41,simple_event,
b5787e,2019-07-30 06:11:15,simple_event,
17b231,2019-07-30 06:13:24,registration,
4d5f74,2019-07-30 06:17:55,registration,
a60266,2019-07-30 06:22:13,simple_event,
a7a1d5,2019-07-30 06:25:57,simple_event,
39a97b,2019-07-30 06:26:09,simple_event,
4795ee,2019-07-30 06:31:11,registration,
d1104b,2019-07-30 06:34:27,simple_event,
90559a,2019-07-30 06:38:16,simple_event,
b6b43a,2019-07-30 06:41:57,simple_event,
573cf9,2019-07-30 06:55:29,registration,
5bd05b,2019-07-30 06:58:19,registration,
6d0471,2019-07-30 06:58:21,registration,
525c13,2019-07-30 06:58:59,registration,
bb928c,2019-07-30 06:59:49,registration,
86cf3a,2019-07-30 07:06:13,simple_event,
0cd1e2,2019-07-30 07:06:40,registration,
52710e,2019-07-30 07:12:18,registration,
5efbd6,2019-07-30 07:25:39,registration,
c36fee,2019-07-30 07:30:58,registration,
31e6e4,2019-07-30 07:33:55,registration,
1aef3c,2019-07-30 07:34:55,registration,
4f0e9a,2019-07-30 07:36:04,simple_event,
a2bcc2,2019-07-30 07:44:47,simple_event,
4de5aa,2019-07-30 07:50:09,registration,
de4dc6,2019-07-30 07:55:42,registration,
9177ac,2019-07-30 07:58:15,registration,
754231,2019-07-30 08:04:59,registration,
51c11d,2019-07-30 08:13:13,simple_event,
80c196,2019-07-30 08:16:18,simple_event,
dd7c06,2019-07-30 08:19:22,simple_event,
fce9fa,2019-07-30 08:19:58,registration,
44b9b0,2019-07-30 08:24:38,registration,
979078,2019-07-30 08:25:09,registration,
797b5a,2019-07-30 08:25:19,registration,
279071,2019-07-30 08:25:42,registration,
02f150,2019-07-30 08:25:48,registration,
1650d0,2019-07-30 08:30:56,registration,
af4497,2019-07-30 08:31:53,registration,
38daba,2019-07-30 08:32:00,simple_event,
db55cd,2019-07-30 08:34:50,simple_event,
c7f0c6,2019-07-30 08:37:46,registration,
315811,2019-07-30 08:40:01,registration,
8e7e1a,2019-07-30 08:49:00,simple_event,
e35182,2019-07-30 08:50:32,registration,
ca1509,2019-07-30 09:04:15,registration,
d1e6c2,2019-07-30 09:06:30,registration,
8e81aa,2019-07-30 09:07:20,registration,
2e794b,2019-07-30 09:11:37,registration,
f58eaa,2019-07-30 09:17:43,registration,
fce9fa,2019-07-30 09:23:23,simple_event,
18ee16,2019-07-30 09:28:27,registration,
188815,2019-07-30 09:29:07,registration,
f14c37,2019-07-30 09:29:59,registration,
370fd7,2019-07-30 09:30:55,registration,
d52f25,2019-07-30 09:36:34,simple_event,
906ab4,2019-07-30 09:36:36,registration,
ef09e0,2019-07-30 09:44:34,registration,
73484c,2019-07-30 09:45:42,simple_event,
e0af18,2019-07-30 09:53:14,registration,
e477ec,2019-07-30 09:54:58,registration,
8e912b,2019-07-30 09:56:44,registration,
9f7525,2019-07-30 09:57:22,registration,
2095b1,2019-07-30 09:57:59,registration,
3605b0,2019-07-30 09:58:27,simple_event,
e75273,2019-07-30 09:59:23,simple_event,
8cea2c,2019-07-30 10:08:19,registration,
eef2a8,2019-07-30 10:09:41,simple_event,
647dbd,2019-07-30 10:11:57,simple_event,
893e46,2019-07-30 10:13:23,registration,
fbf7ca,2019-07-30 10:14:38,simple_event,
8c8da4,2019-07-30 10:18:46,simple_event,
bdb9b7,2019-07-30 10:29:50,simple_event,
509584,2019-07-30 10:30:34,registration,
31e6e4,2019-07-30 10:32:40,simple_event,
75215f,2019-07-30 10:35:37,registration,
e0f9ec,2019-07-30 10:36:11,registration,
8d0cc9,2019-07-30 10:37:07,simple_event,
1ff177,2019-07-30 10:37:30,simple_event,
ef8eb8,2019-07-30 10:39:04,simple_event,
c274b9,2019-07-30 10:49:47,registration,
24f10b,2019-07-30 10:52:06,simple_event,
9f7525,2019-07-30 10:57:03,simple_event,
f610ac,2019-07-30 10:57:10,registration,
b94c66,2019-07-30 10:59:48,simple_event,
eb2c58,2019-07-30 11:05:58,registration,
eec7c2,2019-07-30 11:09:15,simple_event,
f4e78e,2019-07-30 11:16:41,registration,
40bbd7,2019-07-30 11:21:10,simple_event,
71e19e,2019-07-30 11:26:14,registration,
f77f09,2019-07-30 11:28:46,registration,
9cbd73,2019-07-30 11:34:06,simple_event,
95512b,2019-07-30 11:40:26,registration,
13cebd,2019-07-30 11:42:37,registration,
fbf129,2019-07-30 11:42:51,registration,
64cc83,2019-07-30 11:43:53,registration,
44c499,2019-07-30 11:44:58,registration,
22e9ec,2019-07-30 11:45:44,simple_event,
2b7212,2019-07-30 11:46:23,registration,
a72f72,2019-07-30 11:47:35,registration,
22daed,2019-07-30 11:50:42,registration,
bffcfb,2019-07-30 11:53:52,registration,
81d3ad,2019-07-30 11:58:36,registration,
a3c0b0,2019-07-30 11:58:47,registration,
c5db26,2019-07-30 12:00:35,registration,
c43287,2019-07-30 12:01:05,registration,
fd535e,2019-07-30 12:07:12,registration,
16b5b0,2019-07-30 12:08:17,registration,
b9636c,2019-07-30 12:09:07,registration,
71441e,2019-07-30 12:14:56,registration,
444a25,2019-07-30 12:22:56,registration,
d02c48,2019-07-30 12:25:52,registration,
94d84d,2019-07-30 12:29:24,registration,
702ba0,2019-07-30 12:34:51,registration,
b24e8c,2019-07-30 12:38:05,simple_event,
848f84,2019-07-30 12:40:24,registration,
b9353f,2019-07-30 12:41:33,registration,
22ec1a,2019-07-30 12:41:55,simple_event,
4713ff,2019-07-30 12:51:12,registration,
e43583,2019-07-30 12:51:31,registration,
7c2dac,2019-07-30 12:57:05,registration,
6892b1,2019-07-30 12:59:18,registration,
770bcb,2019-07-30 12:59:49,registration,
da430f,2019-07-30 13:01:07,registration,
23beb0,2019-07-30 13:03:11,registration,
232956,2019-07-30 13:03:22,registration,
5fc7fc,2019-07-30 13:05:51,simple_event,
365e4d,2019-07-30 13:10:04,simple_event,
1650d0,2019-07-30 13:11:08,simple_event,
77d448,2019-07-30 13:14:23,registration,
430e7b,2019-07-30 13:25:37,registration,
0556b2,2019-07-30 13:25:38,simple_event,
57f623,2019-07-30 13:30:24,registration,
b9b5a4,2019-07-30 13:33:12,registration,
a792bb,2019-07-30 13:35:17,simple_event,
c59dff,2019-07-30 13:38:22,registration,
5a886e,2019-07-30 13:43:05,simple_event,
0cd1e2,2019-07-30 13:43:37,simple_event,
39a97b,2019-07-30 13:50:44,simple_event,
b94c66,2019-07-30 13:52:15,simple_event,
b0b6a5,2019-07-30 13:54:33,registration,
ed94d6,2019-07-30 14:03:38,registration,
2c8868,2019-07-30 14:06:08,simple_event,
ddd989,2019-07-30 14:07:27,registration,
4a6ca2,2019-07-30 14:13:26,simple_event,
2bab6b,2019-07-30 14:17:16,registration,
7d66e5,2019-07-30 14:21:56,registration,
f018f1,2019-07-30 14:26:49,simple_event,
a15473,2019-07-30 14:33:23,registration,
0f870f,2019-07-30 14:36:45,simple_event,
852734,2019-07-30 14:40:43,simple_event,
21d4b9,2019-07-30 14:41:20,simple_event,
7f6a12,2019-07-30 14:42:16,registration,
c4bfa0,2019-07-30 14:46:53,registration,
382d5f,2019-07-30 14:47:02,registration,
6892b1,2019-07-30 14:51:40,simple_event,
64cc83,2019-07-30 15:04:22,simple_event,
ce34ce,2019-07-30 15:04:51,registration,
ba6ebd,2019-07-30 15:09:29,registration,
db5cc3,2019-07-30 15:14:06,registration,
53a878,2019-07-30 15:14:33,registration,
1326b2,2019-07-30 15:15:40,registration,
8e5f8b,2019-07-30 15:18:34,registration,
202e74,2019-07-30 15:23:58,registration,
c094f7,2019-07-30 15:28:50,registration,
eef35d,2019-07-30 15:29:06,simple_event,
c43287,2019-07-30 15:30:00,simple_event,
cfe2b7,2019-07-30 15:31:09,registration,
fbb6b8,2019-07-30 15:31:43,registration,
deccc0,2019-07-30 15:35:08,simple_event,
ca6db7,2019-07-30 15:40:44,registration,
a3473d,2019-07-30 15:43:23,simple_event,
